Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
Arsenal,70,16.1,682,55.7,83.8,19.8,7.15
Manchester City,84,17.6,772,57,84.6,15.9,7.07
Chelsea,73,14.8,734,54.1,83.2,18.6,7.06
Manchester United,61,13.5,645,58.8,85.1,15.8,6.99
Southampton,49,13.4,573,51.9,79.7,16.9,6.91
Liverpool,51,15.5,663,54.3,82.8,14.9,6.9
Tottenham,58,13.9,794,55.2,81.2,16,6.89
Stoke,47,13.2,821,50.2,77.5,24.4,6.87
Swansea,44,11.2,485,50.7,82.1,14.4,6.86
West Ham,45,12.9,642,46.7,74.6,22.9,6.85
Leicester,51,12,504,44.8,71.1,23.4,6.84
Crystal Palace,46,11.6,634,42.7,69.4,23.7,6.83
Everton,48,12.7,662,53.6,82.5,15.3,6.82
Burnley,29,11.3,642,44,70.3,25.1,6.79
Queens Park Rangers,42,14.1,753,46.3,70.8,21.7,6.77
West Bromwich Albion,37,10.8,643,44.9,75,17.2,6.77
Sunderland,35,10.7,942,46.2,76.1,15.3,6.75
Hull,32,11.3,736,45.6,76.5,21.9,6.75
Newcastle United,41,12.3,657,48.1,76.9,17.7,6.74
Aston Villa,32,11,707,49.1,79,18.5,6.69
