Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
Manchester City,36,20.5,140,63.7,89.5,12.4,7.2
Chelsea,27,18.1,130,63.3,88.8,14.8,7
Liverpool,23,14.9,120,55.5,85.1,12.8,6.97
Tottenham,20,12.6,170,56.2,82.3,13.3,6.87
Arsenal,26,12.1,200,56.7,83.7,16.9,6.84
Everton,19,13.3,172,50.1,78.6,19.7,6.8
Wolverhampton Wanderers,12,14.5,190,47,79.3,19.8,6.77
Bournemouth,21,12.7,191,50.1,78.8,18.3,6.77
Watford,17,12.5,271,47.5,74.1,21,6.76
Leicester,17,12.9,203,52.2,80.1,22.8,6.75
West Ham,14,11.7,281,48.2,79.1,14.7,6.69
Newcastle United,9,10.5,141,42.2,69.1,22.4,6.66
Manchester United,20,13.1,242,52.7,82.3,18.2,6.66
Crystal Palace,8,11.2,201,46.9,77.8,18.2,6.65
Brighton,13,7.8,251,40.1,70.8,20,6.64
Southampton,8,14.5,241,46,76.9,20.8,6.63
Cardiff,11,11.8,171,40.4,64.9,28.5,6.59
Burnley,12,8.1,260,43,71.5,25.6,6.58
Huddersfield,6,10.7,171,47.3,76.1,23.9,6.49
Fulham,11,12.3,211,50.9,80.7,17.4,6.47
