Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
Manchester City,6.5,11.7,9.8,9.3,2,7.2
Chelsea,8.5,13.5,6.4,8.8,2.2,7
Liverpool,8.3,16.8,8.7,9.9,2.1,6.97
Tottenham,12.5,18,10,11.2,1.5,6.87
Arsenal,13.9,17,10.2,11.9,2.3,6.84
Everton,10.4,19.3,12.5,11.2,2.3,6.8
Wolverhampton Wanderers,10.9,17.8,13.6,12.4,1.8,6.77
Bournemouth,13.4,12.1,7.9,9.5,1.3,6.77
Watford,10.3,17.5,12.7,12,2.4,6.76
Leicester,10.8,17.3,11.1,10.8,2.2,6.75
West Ham,13.8,20.2,11.6,9.8,1.8,6.69
Newcastle United,15.3,18.6,14,12.1,1.6,6.66
Manchester United,12.8,14.4,8.2,12.3,2.8,6.66
Crystal Palace,12.9,19.6,12.3,11.6,1.8,6.65
Brighton,18.4,17.4,12.8,14.5,2,6.64
Southampton,13.4,18.3,14.2,11.7,1.8,6.63
Cardiff,12.9,15,14.6,10.2,1.9,6.59
Burnley,21.1,14.3,10,10,2.3,6.58
Huddersfield,12.8,19.5,13.6,11,2.2,6.49
Fulham,16.3,15.4,10.8,10.8,2.8,6.47
