Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
Manchester City,6.2,14.8,9.1,9.1,1.8,7.15
Liverpool,7.4,16.8,10,9.1,1.8,6.99
Manchester United,11.5,14.8,12.7,10.7,2.3,6.98
Tottenham,9.4,16.3,10,10.1,2.3,6.95
Chelsea,9.9,16.7,11.1,9.6,2.8,6.94
Arsenal,11.1,16.4,11.3,10.1,2.3,6.92
Crystal Palace,12.3,18,14.5,11.2,1.5,6.84
Burnley,15,14,10.6,9.2,2.6,6.78
Leicester,12.9,16.6,10.9,9.6,2.4,6.74
Newcastle United,12.6,16.9,11.6,10.8,1.7,6.72
West Ham,14.8,16.4,12.8,10,2.6,6.72
Stoke,15.2,17.9,12.1,11.5,2.3,6.7
Brighton,14.6,15.7,11.9,10.9,2.6,6.69
Southampton,12.9,17.3,12.2,10.9,1.9,6.67
Everton,14.2,16.9,13.5,12.1,2.2,6.67
Watford,10.9,17.6,12.3,11.6,1.9,6.66
Bournemouth,14.4,13.4,9.7,8.9,1.4,6.65
West Bromwich Albion,13.6,15.9,12.3,11.6,2.1,6.63
Huddersfield,11.6,19.6,13.7,10.4,1.8,6.61
Swansea,14.2,16.1,10.3,9.9,1,6.59
