"","Div","Date","AwayTeam","FTAG","FTR","HTAG","HTR","Referee","AS","AST","AF","AC","AY","AR","Passacu2","Aerialsuccess2","possession2","Tackle2"
"74","E0","9/12/2017","Watford",0,"H",0,"H","L Probert",11,2,12,5,0,1,70,45,51,10
"75","E0","19/08/17","West Brom",1,"A",0,"D","M Atkinson",8,1,11,5,0,1,55,45,32,9
"76","E0","14/10/17","West Ham",1,"D",1,"A","S Attwell",8,6,14,4,2,1,65,45,38,9
"77","E0","17/09/17","Arsenal",0,"D",0,"D","M Oliver",11,2,15,1,3,0,79,54,49,19
"78","E0","31/01/18","Bournemouth",3,"A",0,"D","L Probert",11,5,12,5,0,0,72,30,34,23
"79","E0","26/12/17","Brighton",0,"H",0,"D","M Dean",8,1,8,1,1,0,76,68,33,13
"80","E0","12/8/2017","Burnley",3,"A",3,"A","C Pawson",10,5,11,5,3,0,74,56,38,8
"81","E0","10/3/2018","Crystal Palace",1,"H",0,"H","A Taylor",9,2,9,3,2,0,79,45,38,19
"82","E0","27/08/17","Everton",0,"H",0,"H","J Moss",7,0,7,3,2,0,80,38,43,17
"83","E0","9/5/2018","Huddersfield",1,"D",0,"D","L Mason",3,2,10,0,1,0,55,53,22,24
"84","E0","13/01/18","Leicester",0,"D",0,"D","M Jones",14,1,13,3,2,1,78,61,44,14
"85","E0","6/5/2018","Liverpool",0,"H",0,"H","A Taylor",10,5,9,1,2,0,88,47,68,12
"86","E0","30/09/17","Man City",1,"A",0,"D","M Atkinson",17,6,13,8,2,0,89,72,62,19
"87","E0","5/11/2017","Man United",0,"H",0,"D","A Taylor",10,2,20,7,3,0,75,53,46,13
"88","E0","2/12/2017","Newcastle",1,"H",1,"H","K Friend",8,2,13,4,1,0,76,33,34,17
"89","E0","16/12/17","Southampton",0,"H",0,"H","R East",6,2,16,4,3,0,80,57,46,20
"90","E0","30/12/17","Stoke",0,"H",0,"H","K Friend",1,1,10,0,1,0,82,28,41,27
"91","E0","29/11/17","Swansea",0,"H",0,"D","N Swarbrick",2,0,7,1,0,0,77,30,39,16
"92","E0","1/4/2018","Tottenham",3,"A",1,"D","A Marriner",12,7,11,5,1,0,82,50,51,20
"93","E0","21/10/17","Watford",2,"H",1,"D","J Moss",16,5,16,6,3,0,79,40,47,17
"94","E0","12/2/2018","West Brom",0,"H",0,"H","L Mason",8,1,11,7,2,0,79,61,43,12
"95","E0","8/4/2018","West Ham",1,"D",0,"H","K Friend",5,2,11,6,1,0,74,21,40,17
"96","E0","28/12/17","Arsenal",3,"A",1,"A","M Oliver",16,9,7,4,1,0,85,46,65,21
"97","E0","9/12/2017","Bournemouth",2,"D",2,"D","K Friend",11,5,14,3,2,0,80,34,55,19
"98","E0","14/04/18","Brighton",2,"H",2,"H","A Marriner",12,3,16,6,2,0,71,51,50,14
"99","E0","13/01/18","Burnley",0,"H",0,"H","M Oliver",8,2,10,2,3,0,75,51,56,19
"100","E0","14/10/17","Chelsea",1,"H",1,"H","A Marriner",15,5,6,8,1,0,83,83,57,23
"101","E0","18/11/17","Everton",2,"D",2,"D","A Taylor",8,5,26,4,3,0,63,52,31,34
"102","E0","12/8/2017","Huddersfield",3,"A",2,"A","J Moss",8,6,19,9,3,0,64,47,43,28
"103","E0","28/04/18","Leicester",0,"H",0,"H","M Dean",6,1,9,2,1,1,79,58,49,21
"104","E0","31/03/18","Liverpool",2,"A",0,"H","N Swarbrick",16,6,8,6,2,0,88,52,75,14
"105","E0","31/12/17","Man City",0,"D",0,"D","J Moss",15,4,11,8,4,0,85,48,70,9
"106","E0","5/3/2018","Man United",3,"A",0,"H","N Swarbrick",17,8,8,7,3,0,69,38,46,11
"107","E0","4/2/2018","Newcastle",1,"D",1,"A","A Marriner",11,8,8,6,1,0,80,50,54,15
"108","E0","16/09/17","Southampton",1,"A",1,"A","R Madley",13,4,13,5,1,0,77,52,46,20
"109","E0","25/11/17","Stoke",1,"H",0,"D","M Dean",9,3,5,2,1,0,79,46,47,20
"110","E0","26/08/17","Swansea",2,"A",1,"A","A Marriner",7,3,6,1,1,0,86,37,76,14
"111","E0","25/02/18","Tottenham",1,"A",0,"D","K Friend",14,4,5,13,1,0,68,31,46,21
"112","E0","12/12/2017","Watford",1,"H",1,"A","L Mason",7,2,18,6,1,1,71,50,44,23
"113","E0","13/05/18","West Brom",0,"H",0,"D","J Moss",7,1,11,2,3,0,83,50,68,16
"114","E0","28/10/17","West Ham",2,"D",2,"A","R Madley",6,2,15,2,2,0,78,48,41,34
"115","E0","22/10/17","Arsenal",5,"A",1,"D","C Pawson",30,14,14,7,1,0,76,48,49,13
"116","E0","23/09/17","Bournemouth",1,"H",0,"D","M Atkinson",8,4,11,6,1,0,62,56,41,14
"117","E0","10/3/2018","Brighton",0,"H",0,"D","R East",10,4,14,3,1,1,84,42,68,19
"118","E0","1/10/2017","Burnley",1,"A",1,"A","J Moss",5,2,7,3,2,0,77,66,47,10
"119","E0","23/12/17","Chelsea",0,"D",0,"D","R Madley",25,8,4,7,0,0,71,42,53,23
"120","E0","10/2/2018","Crystal Palace",1,"H",0,"D","J Moss",16,4,15,7,1,0,73,64,56,17
"121","E0","2/12/2017","Huddersfield",0,"H",0,"D","C Kavanagh",5,3,9,5,1,0,80,48,62,12
"122","E0","31/01/18","Leicester",1,"H",0,"H","C Kavanagh",8,1,10,5,2,0,93,50,82,8
"123","E0","7/4/2018","Liverpool",0,"D",0,"D","M Oliver",10,3,7,2,0,0,63,47,43,19
"124","E0","31/03/18","Man City",3,"A",3,"A","P Tierney",18,4,8,11,0,0,73,41,46,17
"125","E0","1/1/2018","Man United",2,"A",0,"D","A Marriner",21,6,10,6,0,0,71,57,38,18
"126","E0","23/04/18","Newcastle",0,"H",0,"D","R Madley",9,2,11,6,1,0,79,56,49,13
"127","E0","5/5/2018","Southampton",1,"D",0,"D","J Moss",11,5,12,4,4,1,75,58,62,14
"128","E0","12/8/2017","Stoke",0,"H",0,"H","N Swarbrick",9,1,10,7,1,0,62,59,43,15
"129","E0","18/12/17","Swansea",1,"H",1,"D","J Moss",8,3,12,3,3,0,80,46,56,11
"130","E0","9/9/2017","Tottenham",3,"A",2,"A","G Scott",15,6,14,3,1,0,84,42,68,12
"131","E0","5/11/2017","Watford",2,"H",0,"D","G Scott",11,3,12,5,2,0,60,52,37,18
"132","E0","20/01/18","West Brom",1,"D",1,"A","S Attwell",15,5,10,3,1,0,85,59,60,12
"133","E0","29/11/17","West Ham",0,"H",0,"H","M Oliver",7,3,6,6,1,0,76,48,49,14
"134","E0","13/05/18","Arsenal",1,"A",1,"A","M Oliver",9,4,7,4,0,0,80,36,55,11
"135","E0","11/2/2018","Bournemouth",1,"H",1,"H","M Oliver",7,2,12,6,3,0,69,38,49,18
"136","E0","9/12/2017","Brighton",0,"H",0,"H","S Attwell",7,2,10,1,0,0,67,39,42,17
"137","E0","30/12/17","Burnley",0,"D",0,"D","P Tierney",11,4,14,4,1,0,60,44,43,17
"138","E0","12/12/2017","Chelsea",3,"A",2,"A","A Marriner",12,5,4,3,0,0,92,50,64,10
"139","E0","17/03/18","Crystal Palace",2,"A",1,"A","M Dean",17,6,12,7,2,0,70,60,45,29
"140","E0","28/04/18","Everton",2,"A",1,"A","L Probert",7,5,8,3,0,0,67,49,46,23
"141","E0","16/09/17","Leicester",1,"D",0,"D","J Moss",10,1,6,4,1,0,71,53,40,8
"142","E0","30/01/18","Liverpool",3,"A",2,"A","K Friend",14,7,8,4,0,0,89,48,75,13
"143","E0","26/11/17","Man City",2,"A",0,"H","C Pawson",14,5,10,7,3,0,88,37,80,21
"144","E0","21/10/17","Man United",1,"H",0,"H","L Mason",9,3,12,7,2,0,87,50,78,13
"145","E0","20/08/17","Newcastle",0,"H",0,"D","C Pawson",13,5,10,3,4,0,70,33,47,18
"146","E0","26/08/17","Southampton",0,"D",0,"D","S Attwell",6,3,10,4,1,0,76,42,55,16
"147","E0","26/12/17","Stoke",1,"D",0,"H","A Taylor",15,7,12,5,4,0,73,69,42,31
"148","E0","10/3/2018","Swansea",0,"D",0,"D","M Oliver",0,0,9,0,3,1,51,44,19,17
"149","E0","30/09/17","Tottenham",4,"A",3,"A","N Swarbrick",14,7,4,7,1,0,81,566,60,16
"150","E0","14/04/18","Watford",0,"H",0,"D","C Pawson",4,2,8,6,2,0,73,47,51,20
"151","E0","4/11/2017","West Brom",0,"H",0,"H","R East",9,3,15,5,4,0,78,478,50,13
"152","E0","13/01/18","West Ham",4,"A",1,"D","J Moss",8,6,9,3,1,0,67,49,35,21
"153","E0","9/5/2018","Arsenal",1,"H",0,"H","G Scott",14,7,12,6,2,1,81,46,60,18
"154","E0","3/3/2018","Bournemouth",1,"D",1,"A","L Probert",8,3,7,1,1,0,64,53,45,12
"155","E0","19/08/17","Brighton",0,"H",0,"H","L Probert",5,2,10,2,0,0,83,48,55,11
"156","E0","2/12/2017","Burnley",0,"H",0,"H","P Tierney",14,4,11,7,2,0,74,46,48,23
"157","E0","9/9/2017","Chelsea",2,"A",1,"A","L Mason",16,6,8,9,0,0,83,37,60,20
"158","E0","16/12/17","Crystal Palace",3,"A",2,"A","M Atkinson",13,6,13,4,2,0,74,49,44,25
"159","E0","29/10/17","Everton",0,"H",0,"H","A Marriner",16,2,10,10,2,0,80,52,60,19
"160","E0","1/1/2018","Huddersfield",0,"H",0,"D","G Scott",6,1,9,1,1,0,81,51,49,29
"161","E0","23/09/17","Liverpool",3,"A",2,"A","A Taylor",23,6,14,6,3,0,72,56,57,14
"162","E0","18/11/17","Man City",2,"A",1,"A","G Scott",12,4,10,7,1,0,90,52,75,13
"163","E0","23/12/17","Man United",2,"D",1,"D","J Moss",19,6,8,6,2,0,83,67,50,17
"164","E0","7/4/2018","Newcastle",2,"A",1,"A","S Attwell",8,4,14,5,3,0,59,44,34,13
"165","E0","19/04/18","Southampton",0,"D",0,"D","R East",6,2,10,3,0,0,72,33,46,17
"166","E0","24/02/18","Stoke",1,"D",1,"A","M Oliver",6,2,16,1,3,0,53,54,34,19
"167","E0","3/2/2018","Swansea",1,"D",0,"H","A Taylor",3,1,8,3,0,0,72,50,40,14
"168","E0","28/11/17","Tottenham",1,"H",0,"H","A Taylor",18,6,10,9,2,0,83,53,63,19
"169","E0","20/01/18","Watford",0,"H",0,"H","L Probert",11,3,10,5,0,0,70,61,47,27
"170","E0","16/10/17","West Brom",1,"D",0,"D","M Dean",5,1,6,1,2,0,71,51,43,15
"171","E0","5/5/2018","West Ham",2,"A",1,"A","C Kavanagh",13,3,9,3,2,0,73,56,46,20
"172","E0","27/08/17","Arsenal",0,"H",0,"H","C Pawson",8,0,9,3,4,0,81,56,51,13
"173","E0","14/04/18","Bournemouth",0,"H",0,"H","C Kavanagh",6,1,9,5,1,0,76,50,38,15
"174","E0","13/05/18","Brighton",0,"H",0,"H","K Friend",2,1,6,3,0,0,70,37,28,17
"175","E0","16/09/17","Burnley",1,"D",1,"D","R East",5,4,9,2,2,0,65,65,29,11
"176","E0","25/11/17","Chelsea",1,"D",0,"D","M Oliver",11,3,7,8,0,0,82,63,46,23
"177","E0","19/08/17","Crystal Palace",0,"H",0,"D","K Friend",4,1,13,2,3,0,65,39,28,21
"178","E0","10/12/2017","Everton",1,"D",0,"H","C Pawson",3,2,11,1,3,0,49,50,21,21
"179","E0","28/10/17","Huddersfield",0,"H",0,"D","K Friend",1,0,8,2,1,0,61,42,27,13
"180","E0","30/12/17","Leicester",1,"H",1,"A","N Swarbrick",7,1,3,1,2,0,69,50,39,16
"181","E0","14/01/18","Man City",3,"H",1,"D","A Marriner",11,4,7,6,3,0,86,85,64,24
"182","E0","14/10/17","Man United",0,"D",0,"D","M Atkinson",6,1,13,3,2,0,74,50,38,21
"183","E0","3/3/2018","Newcastle",0,"H",0,"H","G Scott",7,2,9,3,0,0,65,42,29,12
"184","E0","18/11/17","Southampton",0,"H",0,"H","M Jones",5,0,9,2,1,0,71,62,39,26
"185","E0","28/04/18","Stoke",0,"D",0,"D","A Marriner",5,1,14,2,2,0,55,63,28,22
"186","E0","26/12/17","Swansea",0,"H",0,"H","K Friend",7,4,8,2,1,0,84,60,45,13
"187","E0","4/2/2018","Tottenham",2,"D",0,"H","J Moss",13,6,9,7,1,0,80,53,66,16
"188","E0","17/03/18","Watford",0,"H",0,"H","A Taylor",4,1,4,1,0,0,71,53,42,30
"189","E0","13/12/17","West Brom",0,"D",0,"D","P Tierney",6,1,6,7,0,0,66,50,30,24
"190","E0","24/02/18","West Ham",1,"H",0,"H","S Attwell",7,4,7,2,2,0,69,47,32,19
"191","E0","5/11/2017","Arsenal",1,"H",0,"H","M Oliver",6,3,15,5,6,0,69,43,21,10
"192","E0","23/12/17","Bournemouth",0,"H",0,"H","M Jones",5,1,7,6,1,0,79,32,26,14
"193","E0","9/5/2018","Brighton",1,"H",1,"H","P Tierney",6,3,7,3,1,0,65,32,23,14
"194","E0","21/10/17","Burnley",0,"H",0,"H","R East",6,0,6,5,3,0,76,62,29,11
"195","E0","4/3/2018","Chelsea",0,"H",0,"D","M Oliver",3,0,9,2,1,0,72,50,28,16
"196","E0","23/09/17","Crystal Palace",0,"H",0,"H","N Swarbrick",5,0,7,2,1,0,65,35,35,19
"197","E0","21/08/17","Everton",1,"D",1,"A","R Madley",7,2,9,1,2,1,55,57,21,18
"198","E0","6/5/2018","Huddersfield",0,"D",0,"D","M Dean",5,3,4,1,3,0,66,61,29,18
"199","E0","10/2/2018","Leicester",1,"H",1,"D","M Jones",2,2,12,2,3,0,76,31,34,15
"200","E0","9/9/2017","Liverpool",0,"H",0,"H","J Moss",10,3,9,3,2,1,76,50,35,11
"201","E0","7/4/2018","Man United",3,"A",0,"H","M Atkinson",5,4,9,4,3,0,58,48,19,18
"202","E0","20/01/18","Newcastle",1,"H",0,"H","P Tierney",6,4,10,0,1,0,57,41,26,15
"203","E0","29/11/17","Southampton",1,"H",0,"D","P Tierney",7,2,11,5,1,0,65,28,21,12
"204","E0","14/10/17","Stoke",2,"H",1,"H","C Pawson",5,1,8,0,1,0,69,58,17,11
"205","E0","22/04/18","Swansea",0,"H",0,"H","C Pawson",4,1,8,1,1,0,78,67,47,17
"206","E0","16/12/17","Tottenham",1,"H",0,"H","C Pawson",7,2,20,1,4,0,69,45,23,25
"207","E0","2/1/2018","Watford",1,"H",0,"H","L Mason",7,4,12,1,1,0,65,42,26,17
"208","E0","31/01/18","West Brom",0,"H",0,"H","R Madley",3,1,10,1,3,0,71,47,23,20
"209","E0","3/12/2017","West Ham",1,"H",1,"A","M Dean",7,4,7,4,2,0,81,50,42,10
"210","E0","29/04/18","Arsenal",1,"H",0,"H","K Friend",8,3,7,0,1,0,81,58,41,28
"211","E0","13/12/17","Bournemouth",0,"H",0,"H","G Scott",14,7,12,9,2,0,79,55,44,10
"212","E0","25/11/17","Brighton",0,"H",0,"D","N Swarbrick",8,2,9,0,2,0,76,50,42,18
"213","E0","26/12/17","Burnley",2,"D",2,"A","M Atkinson",3,2,14,2,7,0,57,39,29,14
"214","E0","25/02/18","Chelsea",1,"H",1,"D","M Atkinson",14,7,12,4,2,0,86,41,56,22
"215","E0","30/09/17","Crystal Palace",0,"H",0,"H","M Dean",6,1,9,5,0,0,77,32,41,20
"216","E0","17/09/17","Everton",0,"H",0,"H","A Marriner",7,3,14,1,1,0,80,36,51,22
"217","E0","3/2/2018","Huddersfield",0,"H",0,"D","S Attwell",4,0,19,2,4,0,71,56,26,22
"218","E0","26/08/17","Leicester",0,"H",0,"D","M Oliver",11,4,7,3,2,0,68,52,31,22
"219","E0","10/3/2018","Liverpool",1,"H",0,"H","C Pawson",14,2,16,13,1,0,83,37,68,13
"220","E0","10/12/2017","Man City",2,"A",1,"D","M Oliver",14,7,10,8,2,0,83,61,65,18
"221","E0","18/11/17","Newcastle",1,"H",1,"H","C Pawson",12,5,9,4,1,0,75,48,35,18
"222","E0","30/12/17","Southampton",0,"D",0,"D","C Pawson",8,3,13,7,4,0,77,36,45,19
"223","E0","15/01/18","Stoke",0,"H",0,"H","A Taylor",11,5,10,1,1,0,82,61,40,16
"224","E0","31/03/18","Swansea",0,"H",0,"H","R Madley",3,2,13,3,0,0,78,27,33,17
"225","E0","28/10/17","Tottenham",0,"H",0,"D","J Moss",13,4,14,3,0,0,77,45,55,11
"226","E0","13/05/18","Watford",0,"H",0,"H","L Mason",7,3,11,5,0,0,83,54,49,20
"227","E0","15/04/18","West Brom",1,"A",0,"D","P Tierney",10,4,13,4,1,0,69,48,30,9
"228","E0","13/08/17","West Ham",0,"H",0,"H","M Atkinson",9,1,7,1,2,0,79,36,45,21
"229","E0","15/04/18","Arsenal",1,"H",1,"D","A Taylor",15,3,9,5,0,0,85,49,72,25
"230","E0","4/11/2017","Bournemouth",1,"A",0,"D","P Tierney",16,6,12,9,2,0,76,54,52,10
"231","E0","30/12/17","Brighton",0,"D",0,"D","A Taylor",10,3,10,6,2,0,78,53,55,13
"232","E0","31/01/18","Burnley",1,"D",0,"D","S Hooper",11,2,15,4,2,0,65,44,47,8
"233","E0","13/05/18","Chelsea",0,"H",0,"H","M Atkinson",6,2,10,2,1,0,85,69,58,18
"234","E0","21/10/17","Crystal Palace",0,"H",0,"D","S Attwell",10,0,14,5,2,0,71,54,45,16
"235","E0","13/12/17","Everton",1,"A",1,"A","M Atkinson",7,4,11,1,2,0,72,52,45,25
"236","E0","31/03/18","Huddersfield",0,"H",0,"D","M Atkinson",4,0,10,3,4,0,65,49,37,24
"237","E0","9/12/2017","Leicester",3,"A",1,"D","N Swarbrick",13,5,9,5,1,0,79,42,62,20
"238","E0","1/10/2017","Liverpool",1,"D",1,"D","C Pawson",17,2,6,5,1,0,84,54,10,16
"239","E0","27/12/17","Man City",1,"A",1,"A","A Marriner",22,6,6,8,0,0,89,40,78,15
"240","E0","11/2/2018","Man United",0,"H",0,"D","C Pawson",13,6,15,10,2,0,80,44,64,12
"241","E0","10/3/2018","Southampton",0,"H",0,"H","A Marriner",6,2,10,6,2,0,74,42,63,14
"242","E0","16/09/17","Stoke",1,"H",0,"H","S Attwell",13,4,11,5,1,0,75,49,58,15
"243","E0","13/01/18","Swansea",1,"D",0,"D","G Scott",8,5,10,5,3,0,80,64,58,8
"244","E0","13/08/17","Tottenham",2,"A",0,"D","A Marriner",18,6,10,7,2,0,90,48,73,16
"245","E0","25/11/17","Watford",3,"A",2,"A","C Kavanagh",12,4,13,3,2,0,70,45,48,27
"246","E0","28/04/18","West Brom",1,"A",1,"A","D Coote",9,2,13,1,3,0,65,43,36,18
"247","E0","26/08/17","West Ham",0,"H",0,"H","N Swarbrick",8,3,11,5,3,0,76,39,63,17
"248","E0","10/12/2017","Arsenal",1,"D",0,"H","R Madley",11,6,10,5,2,0,88,57,67,13
"249","E0","28/04/18","Bournemouth",1,"H",1,"D","A Taylor",14,7,11,8,1,0,79,49,60,11
"250","E0","31/01/18","Brighton",1,"D",1,"A","M Dean",9,2,10,2,1,0,67,68,34,20
"251","E0","4/11/2017","Burnley",1,"A",0,"D","L Probert",5,1,4,1,0,0,69,59,37,11
"252","E0","14/04/18","Chelsea",3,"A",0,"H","M Dean",17,5,14,7,3,0,81,66,58,11
"253","E0","2/1/2018","Crystal Palace",2,"A",0,"H","S Attwell",11,4,11,7,1,0,69,59,39,15
"254","E0","26/11/17","Everton",1,"H",1,"D","K Friend",5,2,13,2,0,0,70,48,33,12
"255","E0","23/12/17","Huddersfield",1,"D",0,"H","L Probert",10,3,9,1,1,0,64,46,47,17
"256","E0","13/12/17","Leicester",4,"A",3,"A","C Kavanagh",16,11,9,9,0,0,74,43,47,23
"257","E0","11/2/2018","Liverpool",2,"A",2,"A","M Atkinson",16,4,8,1,2,0,78,49,48,14
