Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
Arsenal,10.7,19.4,20.2,9.9,1.7,7.15
Manchester City,10.2,19.8,15,11.7,2.1,7.07
Chelsea,10.9,20,9.7,10.1,2,7.06
Manchester United,10.1,19.4,17.9,11.9,2.3,6.99
Southampton,10.1,21.4,16.5,12.3,2.4,6.91
Liverpool,10.9,21,11.6,10.1,2,6.90
Tottenham,12.9,21.4,17.8,11.6,2,6.89
Stoke,12,19.3,13.2,12.8,2,6.87
Swansea,14.6,16.7,18.2,10.5,2.1,6.86
West Ham,15.5,17,13.3,11.1,2.4,6.85
Leicester,14.7,20.8,19.6,12,1.6,6.84
Crystal Palace,13.8,20.8,15.8,13.9,2,6.83
Everton,13.2,17.4,11.7,10.3,2.2,6.82
Burnley,15.6,16.1,14.9,10.7,1.7,6.79
Queens Park Rangers,16.4,20.6,14.8,11.8,2.1,6.77
West Bromwich Albion,14.4,18.3,15.5,11.1,1.7,6.77
Sunderland,16.5,20,15.2,11.6,1.8,6.75
Hull,13.2,20.1,15.9,11.9,1.9,6.75
Newcastle United,11.7,21.7,16.9,11.4,1,6.74
Aston Villa,12.6,16.4,12.7,10.6,1.9,6.69
